HD ID,Main ID,HIP ID,HR ID,RA,DEC,Spectral Type,GAIA,GAIA or Hipparcos,Mag,Mag error,LD Diameter [mas],LD Diameter error [mas],Bolometric Flux [10^(-8) erg/s cm^2],Bolometric Flux Error,Bolometric Absolute Magnitude,Parallax [mas],Parallax Error,Distance [pc],Distance error,Radius [R_sun],Radius error,Teff [K],Teff error,Luminosity [L_sun],Luminosity error,Methods of Measurement,Exoplanet Host?,Diameter Sources,Bolometric Flux Sources,ra_deg,dec_deg
HD28307,* tet01 Tau,HIP 20885,HR  1411,04 28 34.4979,+15 57 44.221,G9IIIFe-0.5,Gaia DR3 3312748824193704832,GAIA,3.577121,0.00336,2.208666649,0.02094448,92.01724138,1.114172029,,24.7693,0.4363,40.37255796,0.711144321,9.603684958,0.1921209743,4878.694563,27.44426919,46.82096246,1.744167207,"Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Opt Int",Not a host,"1946..............., 1981AJ.....86.1277E, 1982AJ.....87..808R, 1982AJ.....87..818B, 2009ApJ...691.1243B, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,67.14374124999999,15.962283611111111
HD102212,* nu. Vir,HIP 57380,HR  4517,11 45 51.5595,+06 31 45.741,M1III,Gaia DR3 3897724469419137664,GAIA,3.320959,0.003325,5.659914121,0.009163161,206.0,10.0,,9.8446,0.2744,101.5785304,2.831313485,61.92032567,1.728823303,3727.891794,45.34193377,663.5439065,49.04904462,"Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"2003AJ....126.2502M, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,176.46483124999997,6.5293725
HD219215,* phi Aqr,HIP 114724,HR  8834,23 14 19.3582,-06 02 56.423,M1.5III,Gaia DR3 2632117385335567872,GAIA,3.453988,0.003415,5.221,0.020506097,173.0,9.0,,14.3482,0.2594,69.6951534,1.260013297,39.19022316,0.725044164,3715.661075,48.87286138,262.3311445,16.61986323,"Lunar Occ, Opt Int, Opt Int",Not a host,"2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,348.58065916666663,-6.0490063888888885
HD223075,*  19 Psc,HIP 117245,HR  9004,23 46 23.5164,+03 29 12.519,C-N6,Gaia DR3 2743004129429424000,GAIA,3.861429,0.010134,10.23017421,0.003599741,299.5282549,10.62038856,,4.0894,0.2124,244.5346506,12.70092429,269.4293491,13.99425515,3044.874155,26.99588025,5591.356783,613.7238796,"Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Opt Int, Lunar Occ, Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1974A&A....34..457V, 1975MNRAS.173p..61D, 1994A&A...285..541Q, 1997AJ....112.294D, 2013MNRAS.434..437C","2002A&A…390…967B, 2023ApJS..266….6A",356.59798499999994,3.486810833333333
HD99998,* e Leo,HIP 56127,HR  4432,11 30 18.8933,-03 00 12.598,K3+IIIFe-0.5,Gaia DR3 3793247534517512064,GAIA,4.179657,0.002984,3.21,0.02,84.6,8.46,,6.5892,0.1128,151.7634918,2.598027359,52.46791516,0.9558337819,3962.702677,99.83375474,608.2800569,64.29445373,"Lunar Occ, Lunar Occ, Opt Int",Not a host,"1974AJ.....79..483D, 1978AJ.....83.1639W, 1999AJ....118.3032N",Diameter source,172.57872208333333,-3.0034994444444445
HD49968,*  87 Gem,HIP 32968,HR  2533,06 51 59.9861,+23 36 06.199,K5III,Gaia DR3 3380338312213644416,GAIA,5.144586,0.002868,1.939,0.045,31.2,1.2,,7.2748,0.0739,137.4608237,1.396375827,28.70636589,0.7272382423,3973.298174,59.87782365,184.0395117,8.005313934,"Lunar Occ, Lunar Occ",Not a host,"1980AJ.....85.1505B, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,102.99994208333332,23.601721944444446
HD4656,* del Psc,HIP 3786,HR   224,00 48 40.9443,+07 35 06.294,K5-III,Gaia DR3 2556759229189045632,GAIA,3.836344,0.002911,3.841,0.035,110.0,3.0,,10.8577,0.1787,92.10053695,1.515824341,38.10025955,0.7167611643,3868.364877,31.72193592,291.2833118,12.45151118,"Lunar Occ, Lunar Occ",Not a host,https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf,Diameter source,12.170601249999999,7.5850816666666665
HD87837,*  31 Leo,HIP 49637,HR  3980,10 07 54.2701,+09 59 51.024,K3.5IIIbFe-1:,Gaia DR3 3879879704937353984,GAIA,3.838813,0.0031,3.309076923,0.033282012,101.0,1.4,,11.0209,0.1661,90.7366912,1.367525738,32.33785922,0.585935981,4079.700913,24.91572857,259.5887365,8.612409925,"Lunar Occ, Lunar Occ, Lunar Occ, Lunar Occ, Opt Int",Not a host,"1976MNRAS.175p..57G, 1999AJ....118.3032N, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,151.97612541666666,9.997506666666666
HD39587,* chi01 Ori,HIP 27913,HR  2047,05 54 22.9829,+20 16 34.222,G0V,Gaia DR3 3399063235755057792,GAIA,4.241686,0.003265,1.051,0.009,44.51,0.08,,114.9497,0.528,8.699457241,0.039959334,0.9847281176,0.009569013,5898.131544,25.39234023,1.051575609,0.009843589,"Lunar Occ, Lunar Occ, Opt Int, Opt Int",Not a host,"1976AJ.....81..650A, 1977AJ.....82..828E, 2012ApJ...746..101B, 2014ApJ...797..119M",Boyajian et al. (2013),88.59576208333333,20.276172777777777
HD82381,*   6 Leo,HIP 46774,HR  3779,09 31 57.5770,+09 42 56.755,K2.5IIIFe-0.5,Gaia DR3 589052776077097088,GAIA,4.596352,0.002881,2.14,0.04,47.0,0.9,,5.2776,0.165,189.4800667,5.923944786,43.67156618,1.590764227,4190.047936,43.99779435,526.7730038,34.44823717,Lunar Occ,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,142.98990416666666,9.715765277777777
